,Age Groups,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over
      Central African Republic,    1941 to 1945,0,0,0,0,0,0
      Central African Republic,    1946 to 1950,0,0,0,0,0,0
      Central African Republic,    1951 to 1955,0,0,0,0,0,0
      Central African Republic,    1956 to 1960,0,0,0,0,0,0
      Central African Republic,    1961 to 1965,0,0,0,0,0,0
      Central African Republic,    1966 to 1970,0,0,0,0,0,0
      Central African Republic,    1970 to 1975,0,0,0,0,0,0
      Central African Republic,    1976 to 1980,10,0,0,0,0,10
      Central African Republic,    1981 to 1985,0,0,0,0,0,0
      Central African Republic,    1986 to 1990,15,0,0,15,0,0
      Central African Republic,    1991 to 1995,25,10,10,10,0,0
      Central African Republic,    1996 to 2000,15,0,0,15,0,0
      Central African Republic,    2001 to 2006,95,10,20,55,0,0
      Central African Republic,  Non-permanent residents,55,15,10,35,0,0
      Chad,Total - Immigrant Status and Period of Immigration,945,75,195,640,40,0
      Chad,  Non-immigrants,35,0,0,25,10,0
      Chad,  Immigrants,795,75,135,560,30,0
      Chad,    Before 1915,0,0,0,0,0,0
      Chad,    1916 to 1920,0,0,0,0,0,0
      Chad,    1921 to 1925,0,0,0,0,0,0
      Chad,    1926 to 1930,0,0,0,0,0,0
      Chad,    1931 to 1935,0,0,0,0,0,0
      Chad,    1936 to 1940,0,0,0,0,0,0
      Chad,    1941 to 1945,0,0,0,0,0,0
      Chad,    1946 to 1950,0,0,0,0,0,0
      Chad,    1951 to 1955,0,0,0,0,0,0
      Chad,    1956 to 1960,0,0,0,0,0,0
      Chad,    1961 to 1965,15,0,0,15,0,0
      Chad,    1966 to 1970,10,0,0,10,0,0
      Chad,    1970 to 1975,20,0,0,15,0,0
      Chad,    1976 to 1980,10,0,0,0,10,0
      Chad,    1981 to 1985,0,0,10,10,0,0
      Chad,    1986 to 1990,0,0,0,0,0,0
      Chad,    1991 to 1995,25,0,0,25,0,0
      Chad,    1996 to 2000,250,20,15,215,0,0
      Chad,    2001 to 2006,455,60,115,275,0,0
      Chad,  Non-permanent residents,115,0,55,55,0,0
"      Congo, Democratic Republic of the",Total - Immigrant Status and Period of Immigration,15780,2330,3270,9230,650,295
"      Congo, Democratic Republic of the",  Non-immigrants,120,0,45,70,10,0
"      Congo, Democratic Republic of the",  Immigrants,14035,2105,2920,8210,550,245
"      Congo, Democratic Republic of the",    Before 1915,0,0,0,0,0,0
"      Congo, Democratic Republic of the",    1916 to 1920,0,0,0,0,0,0
"      Congo, Democratic Republic of the",    1921 to 1925,0,0,0,0,0,0
"      Congo, Democratic Republic of the",    1926 to 1930,0,0,0,0,0,0
"      Congo, Democratic Republic of the",    1931 to 1935,0,0,0,0,0,0
"      Congo, Democratic Republic of the",    1936 to 1940,0,0,0,0,0,0
"      Congo, Democratic Republic of the",    1941 to 1945,0,0,0,0,0,0
"      Congo, Democratic Republic of the",    1946 to 1950,10,0,0,0,10,0
"      Congo, Democratic Republic of the",    1951 to 1955,25,0,0,0,15,10
"      Congo, Democratic Republic of the",    1956 to 1960,20,0,0,0,10,10
"      Congo, Democratic Republic of the",    1961 to 1965,55,0,0,45,10,0
"      Congo, Democratic Republic of the",    1966 to 1970,110,0,0,65,40,10
"      Congo, Democratic Republic of the",    1970 to 1975,350,0,0,215,95,45
"      Congo, Democratic Republic of the",    1976 to 1980,240,0,0,175,60,10
"      Congo, Democratic Republic of the",    1981 to 1985,275,0,20,195,50,10
"      Congo, Democratic Republic of the",    1986 to 1990,550,0,105,405,45,0
"      Congo, Democratic Republic of the",    1991 to 1995,1740,60,435,1230,20,0
"      Congo, Democratic Republic of the",    1996 to 2000,3820,460,755,2460,80,70
"      Congo, Democratic Republic of the",    2001 to 2006,6840,1590,1615,3420,140,85
"      Congo, Democratic Republic of the",  Non-permanent residents,1625,225,305,955,90,50
"      Congo, Republic of the",Total - Immigrant Status and Period of Immigration,675,95,85,450,30,10
"      Congo, Republic of the",  Non-immigrants,0,0,0,0,0,0
"      Congo, Republic of the",  Immigrants,625,90,80,420,25,10
"      Congo, Republic of the",    Before 1915,0,0,0,0,0,0
"      Congo, Republic of the",    1916 to 1920,0,0,0,0,0,0
"      Congo, Republic of the",    1921 to 1925,0,0,0,0,0,0
"      Congo, Republic of the",    1926 to 1930,0,0,0,0,0,0
"      Congo, Republic of the",    1931 to 1935,0,0,0,0,0,0
"      Congo, Republic of the",    1936 to 1940,0,0,0,0,0,0
"      Congo, Republic of the",    1941 to 1945,0,0,0,0,0,0
"      Congo, Republic of the",    1946 to 1950,0,0,0,0,0,0
"      Congo, Republic of the",    1951 to 1955,0,0,0,0,0,0
"      Congo, Republic of the",    1956 to 1960,0,0,0,0,0,0
"      Congo, Republic of the",    1961 to 1965,0,0,0,0,0,0
"      Congo, Republic of the",    1966 to 1970,0,0,0,0,0,0
"      Congo, Republic of the",    1970 to 1975,50,0,0,30,15,10
"      Congo, Republic of the",    1976 to 1980,10,0,0,0,10,0
"      Congo, Republic of the",    1981 to 1985,10,0,0,10,0,0
"      Congo, Republic of the",    1986 to 1990,40,0,0,30,0,0
"      Congo, Republic of the",    1991 to 1995,35,0,10,20,0,0
"      Congo, Republic of the",    1996 to 2000,170,30,20,120,0,0
"      Congo, Republic of the",    2001 to 2006,300,55,45,200,0,0
"      Congo, Republic of the",  Non-permanent residents,50,0,10,30,0,0
      Equatorial Guinea,Total - Immigrant Status and Period of Immigration,30,10,10,10,0,0
      Equatorial Guinea,  Non-immigrants,0,0,0,0,0,0
      Equatorial Guinea,  Immigrants,30,10,10,10,0,0
      Equatorial Guinea,    Before 1915,0,0,0,0,0,0
      Equatorial Guinea,    1916 to 1920,0,0,0,0,0,0
      Equatorial Guinea,    1921 to 1925,0,0,0,0,0,0
      Equatorial Guinea,    1926 to 1930,0,0,0,0,0,0
      Equatorial Guinea,    1931 to 1935,0,0,0,0,0,0
      Equatorial Guinea,    1936 to 1940,0,0,0,0,0,0
      Equatorial Guinea,    1941 to 1945,0,0,0,0,0,0
      Equatorial Guinea,    1946 to 1950,0,0,0,0,0,0
      Equatorial Guinea,    1951 to 1955,0,0,0,0,0,0
      Equatorial Guinea,    1956 to 1960,0,0,0,0,0,0
      Equatorial Guinea,    1961 to 1965,0,0,0,0,0,0
      Equatorial Guinea,    1966 to 1970,0,0,0,0,0,0
      Equatorial Guinea,    1970 to 1975,0,0,0,0,0,0
      Equatorial Guinea,    1976 to 1980,0,0,0,0,0,0
      Equatorial Guinea,    1981 to 1985,0,0,0,0,0,0
      Equatorial Guinea,    1986 to 1990,10,0,10,0,0,0
      Equatorial Guinea,    1991 to 1995,0,0,0,0,0,0
      Equatorial Guinea,    1996 to 2000,10,0,0,10,0,0
      Equatorial Guinea,    2001 to 2006,10,10,0,0,0,0
      Equatorial Guinea,  Non-permanent residents,0,0,0,0,0,0
      Gabon,Total - Immigrant Status and Period of Immigration,790,140,280,345,25,0
      Gabon,  Non-immigrants,30,10,15,0,0,0
      Gabon,  Immigrants,500,95,160,235,15,0
      Gabon,    Before 1915,0,0,0,0,0,0
      Gabon,    1916 to 1920,0,0,0,0,0,0
      Gabon,    1921 to 1925,0,0,0,0,0,0
      Gabon,    1926 to 1930,0,0,0,0,0,0
      Gabon,    1931 to 1935,0,0,0,0,0,0
      Gabon,    1936 to 1940,0,0,0,0,0,0
      Gabon,    1941 to 1945,0,0,0,0,0,0
      Gabon,    1946 to 1950,0,0,0,0,0,0
      Gabon,    1951 to 1955,0,0,0,0,0,0
      Gabon,    1956 to 1960,0,0,0,0,0,0
      Gabon,    1961 to 1965,0,0,0,0,0,0
      Gabon,    1966 to 1970,0,0,0,0,0,0
      Gabon,    1970 to 1975,15,0,0,15,0,0
      Gabon,    1976 to 1980,10,0,0,10,0,0
      Gabon,    1981 to 1985,0,0,0,0,0,0
      Gabon,    1986 to 1990,30,0,20,10,0,0
      Gabon,    1991 to 1995,50,0,25,25,0,0
      Gabon,    1996 to 2000,170,35,70,65,0,0
      Gabon,    2001 to 2006,225,55,50,105,10,0
      Gabon,  Non-permanent residents,250,30,105,110,10,0
      Sao Tome and Principe,Total - Immigrant Status and Period of Immigration,0,0,0,0,0,0
      Sao Tome and Principe,  Non-immigrants,0,0,0,0,0,0
      Sao Tome and Principe,  Immigrants,0,0,0,0,0,0
      Sao Tome and Principe,    Before 1915,0,0,0,0,0,0
      Sao Tome and Principe,    1916 to 1920,0,0,0,0,0,0
      Sao Tome and Principe,    1921 to 1925,0,0,0,0,0,0
      Sao Tome and Principe,    1926 to 1930,0,0,0,0,0,0
      Sao Tome and Principe,    1931 to 1935,0,0,0,0,0,0
      Sao Tome and Principe,    1936 to 1940,0,0,0,0,0,0
      Sao Tome and Principe,    1941 to 1945,0,0,0,0,0,0
      Sao Tome and Principe,    1946 to 1950,0,0,0,0,0,0
      Sao Tome and Principe,    1951 to 1955,0,0,0,0,0,0
      Sao Tome and Principe,    1956 to 1960,0,0,0,0,0,0
      Sao Tome and Principe,    1961 to 1965,0,0,0,0,0,0
      Sao Tome and Principe,    1966 to 1970,0,0,0,0,0,0
      Sao Tome and Principe,    1970 to 1975,0,0,0,0,0,0
      Sao Tome and Principe,    1976 to 1980,0,0,0,0,0,0
      Sao Tome and Principe,    1981 to 1985,0,0,0,0,0,0
      Sao Tome and Principe,    1986 to 1990,0,0,0,0,0,0
      Sao Tome and Principe,    1991 to 1995,0,0,0,0,0,0
      Sao Tome and Principe,    1996 to 2000,0,0,0,0,0,0
      Sao Tome and Principe,    2001 to 2006,0,0,0,0,0,0
      Sao Tome and Principe,  Non-permanent residents,0,0,0,0,0,0
    Southern Africa,Total - Immigrant Status and Period of Immigration,42190,3575,5775,21685,5590,5570
    Southern Africa,  Non-immigrants,695,165,140,315,65,10
    Southern Africa,  Immigrants,38925,2755,5140,20075,5430,5530
    Southern Africa,    Before 1915,0,0,0,0,0,0
    Southern Africa,    1916 to 1920,0,0,0,0,0,0
    Southern Africa,    1921 to 1925,10,0,0,0,0,10
    Southern Africa,    1926 to 1930,10,0,0,0,0,10
    Southern Africa,    1931 to 1935,10,0,0,0,0,10
    Southern Africa,    1936 to 1940,0,0,0,0,0,0
    Southern Africa,    1941 to 1945,20,0,0,0,0,15
    Southern Africa,    1946 to 1950,80,0,0,0,25,55
    Southern Africa,    1951 to 1955,395,0,0,20,150,225
    Southern Africa,    1956 to 1960,775,0,0,185,150,445
    Southern Africa,    1961 to 1965,1080,0,0,390,160,525
    Southern Africa,    1966 to 1970,3010,0,0,1020,760,1225
    Southern Africa,    1970 to 1975,2830,0,0,1300,830,700
    Southern Africa,    1976 to 1980,4330,0,0,2405,1210,715
    Southern Africa,    1981 to 1985,2385,0,100,1580,420,285
    Southern Africa,    1986 to 1990,4475,0,775,2665,720,315
    Southern Africa,    1991 to 1995,5550,210,1340,3230,345,435
    Southern Africa,    1996 to 2000,7180,1115,1630,3850,290,300
    Southern Africa,    2001 to 2006,6790,1435,1295,3425,370,270
    Southern Africa,  Non-permanent residents,2570,655,500,1290,95,30
      Botswana,Total - Immigrant Status and Period of Immigration,420,65,210,140,10,0
      Botswana,  Non-immigrants,35,10,10,15,0,0
      Botswana,  Immigrants,215,55,75,75,10,0
      Botswana,    Before 1915,0,0,0,0,0,0
      Botswana,    1916 to 1920,0,0,0,0,0,0
      Botswana,    1921 to 1925,0,0,0,0,0,0
      Botswana,    1926 to 1930,0,0,0,0,0,0
      Botswana,    1931 to 1935,0,0,0,0,0,0
      Botswana,    1936 to 1940,0,0,0,0,0,0
      Botswana,    1941 to 1945,0,0,0,0,0,0
      Botswana,    1946 to 1950,0,0,0,0,0,0
      Botswana,    1951 to 1955,0,0,0,0,0,0
      Botswana,    1956 to 1960,0,0,0,0,0,0
      Botswana,    1961 to 1965,10,0,0,0,10,0
      Botswana,    1966 to 1970,0,0,0,0,0,0
      Botswana,    1970 to 1975,10,0,0,10,0,0
      Botswana,    1976 to 1980,15,0,0,15,0,0
      Botswana,    1981 to 1985,30,0,10,20,0,0
      Botswana,    1986 to 1990,15,0,10,0,0,0
      Botswana,    1991 to 1995,45,10,10,20,0,0
      Botswana,    1996 to 2000,25,10,15,10,0,0
      Botswana,    2001 to 2006,80,30,35,15,0,0
      Botswana,  Non-permanent residents,170,0,125,40,0,0
      Lesotho,Total - Immigrant Status and Period of Immigration,140,15,65,55,0,0
      Lesotho,  Non-immigrants,40,0,35,10,0,0
      Lesotho,  Immigrants,95,15,25,40,0,0
      Lesotho,    Before 1915,0,0,0,0,0,0
      Lesotho,    1916 to 1920,0,0,0,0,0,0
      Lesotho,    1921 to 1925,0,0,0,0,0,0
      Lesotho,    1926 to 1930,0,0,0,0,0,0
      Lesotho,    1931 to 1935,0,0,0,0,0,0
      Lesotho,    1936 to 1940,0,0,0,0,0,0
      Lesotho,    1941 to 1945,0,0,0,0,0,0
      Lesotho,    1946 to 1950,0,0,0,0,0,0
      Lesotho,    1951 to 1955,0,0,0,0,0,0
      Lesotho,    1956 to 1960,0,0,0,0,0,0
      Lesotho,    1961 to 1965,0,0,0,0,0,0
      Lesotho,    1966 to 1970,0,0,0,0,0,0
      Lesotho,    1970 to 1975,0,0,0,0,0,0
      Lesotho,    1976 to 1980,0,0,0,0,0,0
      Lesotho,    1981 to 1985,10,0,0,10,0,0
      Lesotho,    1986 to 1990,20,0,0,15,0,0
      Lesotho,    1991 to 1995,25,10,10,10,0,0
      Lesotho,    1996 to 2000,0,0,0,0,0,0
      Lesotho,    2001 to 2006,25,10,0,10,0,0
      Lesotho,  Non-permanent residents,10,0,0,10,0,0
      Namibia,Total - Immigrant Status and Period of Immigration,475,105,50,275,30,20
      Namibia,  Non-immigrants,25,10,0,10,0,0
      Namibia,  Immigrants,325,55,40,190,25,20
      Namibia,    Before 1915,0,0,0,0,0,0
      Namibia,    1916 to 1920,0,0,0,0,0,0
      Namibia,    1921 to 1925,0,0,0,0,0,0
      Namibia,    1926 to 1930,0,0,0,0,0,0
      Namibia,    1931 to 1935,0,0,0,0,0,0
      Namibia,    1936 to 1940,0,0,0,0,0,0
      Namibia,    1941 to 1945,0,0,0,0,0,0
      Namibia,    1946 to 1950,0,0,0,0,0,0
      Namibia,    1951 to 1955,0,0,0,0,0,0
      Namibia,    1956 to 1960,0,0,0,0,0,0
      Namibia,    1961 to 1965,10,0,0,0,10,0
      Namibia,    1966 to 1970,15,0,0,10,0,10
      Namibia,    1970 to 1975,15,0,0,15,0,0
      Namibia,    1976 to 1980,0,0,0,0,0,0
      Namibia,    1981 to 1985,10,0,10,0,0,0
      Namibia,    1986 to 1990,60,0,0,50,0,0
      Namibia,    1991 to 1995,40,0,15,25,0,0
      Namibia,    1996 to 2000,55,25,10,25,0,10
      Namibia,    2001 to 2006,110,30,10,65,0,10
      Namibia,  Non-permanent residents,125,40,15,75,0,0
"      South Africa, Republic of",Total - Immigrant Status and Period of Immigration,40940,3360,5420,21095,5535,5540
"      South Africa, Republic of",  Non-immigrants,560,125,85,275,55,10
"      South Africa, Republic of",  Immigrants,38145,2615,4975,19675,5390,5500
"      South Africa, Republic of",    Before 1915,0,0,0,0,0,0
"      South Africa, Republic of",    1916 to 1920,0,0,0,0,0,0
"      South Africa, Republic of",    1921 to 1925,10,0,0,0,0,10
"      South Africa, Republic of",    1926 to 1930,10,0,0,0,0,10
"      South Africa, Republic of",    1931 to 1935,10,0,0,0,0,10
"      South Africa, Republic of",    1936 to 1940,0,0,0,0,0,0
"      South Africa, Republic of",    1941 to 1945,20,0,0,0,0,15
"      South Africa, Republic of",    1946 to 1950,80,0,0,0,25,50
"      South Africa, Republic of",    1951 to 1955,385,0,0,20,145,225
"      South Africa, Republic of",    1956 to 1960,775,0,0,185,140,445
"      South Africa, Republic of",    1961 to 1965,1060,0,0,385,145,525
"      South Africa, Republic of",    1966 to 1970,2995,0,0,1020,760,1215
"      South Africa, Republic of",    1970 to 1975,2800,0,0,1270,830,700
"      South Africa, Republic of",    1976 to 1980,4280,0,0,2370,1195,715
"      South Africa, Republic of",    1981 to 1985,2330,0,80,1555,410,285
"      South Africa, Republic of",    1986 to 1990,4370,0,755,2590,715,315
"      South Africa, Republic of",    1991 to 1995,5415,180,1290,3165,345,435
"      South Africa, Republic of",    1996 to 2000,7075,1075,1610,3810,290,295
"      South Africa, Republic of",    2001 to 2006,6515,1355,1235,3305,370,260
"      South Africa, Republic of",  Non-permanent residents,2240,615,360,1145,90,30
      Swaziland,Total - Immigrant Status and Period of Immigration,210,30,35,115,15,0
      Swaziland,  Non-immigrants,40,15,10,10,0,0
      Swaziland,  Immigrants,140,15,25,80,15,0
      Swaziland,    Before 1915,0,0,0,0,0,0
      Swaziland,    1916 to 1920,0,0,0,0,0,0
      Swaziland,    1921 to 1925,0,0,0,0,0,0
      Swaziland,    1926 to 1930,0,0,0,0,0,0
      Swaziland,    1931 to 1935,0,0,0,0,0,0
      Swaziland,    1936 to 1940,0,0,0,0,0,0
      Swaziland,    1941 to 1945,0,0,0,0,0,0
      Swaziland,    1946 to 1950,0,0,0,0,0,0
      Swaziland,    1951 to 1955,0,0,0,0,0,0
      Swaziland,    1956 to 1960,0,0,0,0,0,0
      Swaziland,    1961 to 1965,0,0,0,0,0,0
      Swaziland,    1966 to 1970,0,0,0,0,0,0
      Swaziland,    1970 to 1975,10,0,0,10,0,0
      Swaziland,    1976 to 1980,30,0,0,15,15,0
      Swaziland,    1981 to 1985,0,0,0,0,0,0
      Swaziland,    1986 to 1990,10,0,0,10,0,0
      Swaziland,    1991 to 1995,25,0,0,10,0,0
      Swaziland,    1996 to 2000,15,0,0,10,0,0
      Swaziland,    2001 to 2006,55,10,15,30,0,0
      Swaziland,  Non-permanent residents,25,0,0,25,0,0
  Asia and the Middle East,Total - Immigrant Status and Period of Immigration,2653155,201620,339265,1538400,294260,279610
  Asia and the Middle East,  Non-immigrants,11140,4385,2680,3280,295,495
  Asia and the Middle East,  Immigrants,2521035,184735,298640,1470215,290945,276500
  Asia and the Middle East,    Before 1915,10,0,0,0,0,10
  Asia and the Middle East,    1916 to 1920,40,0,0,0,0,40
  Asia and the Middle East,    1921 to 1925,125,0,0,0,0,125
  Asia and the Middle East,    1926 to 1930,190,0,0,0,0,190
  Asia and the Middle East,    1931 to 1935,250,0,0,0,0,250
  Asia and the Middle East,    1936 to 1940,315,0,0,0,0,315
  Asia and the Middle East,    1941 to 1945,570,0,0,0,100,465
  Asia and the Middle East,    1946 to 1950,2995,0,0,0,480,2515
  Asia and the Middle East,    1951 to 1955,9455,0,0,375,1830,7250
  Asia and the Middle East,    1956 to 1960,12635,0,0,1630,2825,8185
  Asia and the Middle East,    1961 to 1965,18400,0,0,4060,4480,9860
  Asia and the Middle East,    1966 to 1970,69310,0,0,18190,25835,25280
  Asia and the Middle East,    1970 to 1975,139870,0,0,58980,54615,26280
  Asia and the Middle East,    1976 to 1980,166555,0,0,107700,32640,26210
  Asia and the Middle East,    1981 to 1985,160430,0,4555,110055,19160,26660
  Asia and the Middle East,    1986 to 1990,316130,0,35855,207770,36990,35520
  Asia and the Middle East,    1991 to 1995,467970,10025,68310,286050,47715,55870
  Asia and the Middle East,    1996 to 2000,509715,52690,87995,307965,33800,27265
  Asia and the Middle East,    2001 to 2006,646075,122020,101930,367440,30475,24215
  Asia and the Middle East,  Non-permanent residents,120980,12500,37945,64910,3020,2610
    West Central Asia and the Middle East,Total - Immigrant Status and Period of Immigration,388750,40835,69445,213480,35830,29145
    West Central Asia and the Middle East,  Non-immigrants,2375,890,765,660,35,25
    West Central Asia and the Middle East,  Immigrants,369850,36955,64745,204055,35390,28700
    West Central Asia and the Middle East,    Before 1915,0,0,0,0,0,0
    West Central Asia and the Middle East,    1916 to 1920,10,0,0,0,0,10
    West Central Asia and the Middle East,    1921 to 1925,30,0,0,0,0,30
    West Central Asia and the Middle East,    1926 to 1930,30,0,0,0,0,30
    West Central Asia and the Middle East,    1931 to 1935,30,0,0,0,0,30
    West Central Asia and the Middle East,    1936 to 1940,20,0,0,0,0,20
    West Central Asia and the Middle East,    1941 to 1945,55,0,0,0,0,55
    West Central Asia and the Middle East,    1946 to 1950,270,0,0,0,110,165
    West Central Asia and the Middle East,    1951 to 1955,1455,0,0,120,565,775
    West Central Asia and the Middle East,    1956 to 1960,2275,0,0,510,645,1125
    West Central Asia and the Middle East,    1961 to 1965,3425,0,0,995,905,1525
    West Central Asia and the Middle East,    1966 to 1970,9395,0,0,2970,3445,2980
    West Central Asia and the Middle East,    1970 to 1975,11635,0,0,5860,3960,1815
    West Central Asia and the Middle East,    1976 to 1980,17865,0,0,11445,3645,2775
    West Central Asia and the Middle East,    1981 to 1985,18530,0,760,12800,2635,2330
    West Central Asia and the Middle East,    1986 to 1990,53875,0,9000,34920,5610,4340
