,Age groups,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over,,,
      Eritrea,  Non-permanent residents,95,0,15,80,0,0,,,
      Ethiopia,Total - Immigrant Status and Period of Immigration,14400,935,1970,11020,305,175,,,
      Ethiopia,  Non-immigrants,140,50,0,90,0,0,,,
      Ethiopia,  Immigrants,13630,770,1830,10565,295,170,,,
      Ethiopia,    Before 1915,0,0,0,0,0,0,,,
      Ethiopia,    1916 to 1920,0,0,0,0,0,0,,,
      Ethiopia,    1921 to 1925,0,0,0,0,0,0,,,
      Ethiopia,    1926 to 1930,0,0,0,0,0,0,,,
      Ethiopia,    1931 to 1935,0,0,0,0,0,0,,,
      Ethiopia,    1936 to 1940,0,0,0,0,0,0,,,
      Ethiopia,    1941 to 1945,0,0,0,0,0,0,,,
      Ethiopia,    1946 to 1950,0,0,0,0,0,0,,,
      Ethiopia,    1951 to 1955,15,0,0,0,0,10,,,
      Ethiopia,    1956 to 1960,0,0,0,0,0,0,,,
      Ethiopia,    1961 to 1965,30,0,0,25,10,0,,,
      Ethiopia,    1966 to 1970,75,0,0,70,0,0,,,
      Ethiopia,    1971 to 1975,215,0,0,180,25,10,,,
      Ethiopia,    1976 to 1980,230,0,0,175,25,30,,,
      Ethiopia,    1981 to 1985,1045,0,100,915,35,0,,,
      Ethiopia,    1986 to 1990,3910,60,350,3455,45,10,,,
      Ethiopia,    1991 to 1995,4760,320,530,3780,70,60,,,
      Ethiopia,    1996 to 2001,3340,400,855,1965,85,45,,,
      Ethiopia,  Non-permanent residents,635,110,140,360,10,10,,,
      Kenya,Total - Immigrant Status and Period of Immigration,20730,1660,2160,12475,2605,1820,,,
      Kenya,  Non-immigrants,170,50,40,70,0,0,,,
      Kenya,  Immigrants,19790,1415,1880,12080,2600,1810,,,
      Kenya,    Before 1915,0,0,0,0,0,0,,,
      Kenya,    1916 to 1920,0,0,0,0,0,0,,,
      Kenya,    1921 to 1925,0,0,0,0,0,0,,,
      Kenya,    1926 to 1930,0,0,0,0,0,0,,,
      Kenya,    1931 to 1935,0,0,0,0,0,0,,,
      Kenya,    1936 to 1940,0,0,0,0,0,0,,,
      Kenya,    1941 to 1945,0,0,0,0,0,0,,,
      Kenya,    1946 to 1950,20,0,0,0,10,15,,,
      Kenya,    1951 to 1955,40,0,0,20,10,10,,,
      Kenya,    1956 to 1960,95,0,0,40,25,35,,,
      Kenya,    1961 to 1965,145,0,0,65,40,40,,,
      Kenya,    1966 to 1970,960,0,0,510,295,160,,,
      Kenya,    1971 to 1975,4965,0,0,3215,1115,635,,,
      Kenya,    1976 to 1980,2465,0,55,1810,370,230,,,
      Kenya,    1981 to 1985,1845,0,165,1250,200,230,,,
      Kenya,    1986 to 1990,4135,175,820,2585,345,205,,,
      Kenya,    1991 to 1995,2565,345,485,1415,155,175,,,
      Kenya,    1996 to 2001,2545,895,360,1185,45,65,,,
      Kenya,  Non-permanent residents,770,185,240,330,0,0,,,
      Madagascar,Total - Immigrant Status and Period of Immigration,1935,100,180,1275,250,130,,,
      Madagascar,  Non-immigrants,0,0,0,0,0,0,,,
      Madagascar,  Immigrants,1865,90,180,1220,250,130,,,
      Madagascar,    Before 1915,0,0,0,0,0,0,,,
      Madagascar,    1916 to 1920,0,0,0,0,0,0,,,
      Madagascar,    1921 to 1925,0,0,0,0,0,0,,,
      Madagascar,    1926 to 1930,0,0,0,0,0,0,,,
      Madagascar,    1931 to 1935,0,0,0,0,0,0,,,
      Madagascar,    1936 to 1940,0,0,0,0,0,0,,,
      Madagascar,    1941 to 1945,0,0,0,0,0,0,,,
      Madagascar,    1946 to 1950,0,0,0,0,0,0,,,
      Madagascar,    1951 to 1955,10,0,0,0,0,10,,,
      Madagascar,    1956 to 1960,0,0,0,0,0,0,,,
      Madagascar,    1961 to 1965,0,0,0,0,0,0,,,
      Madagascar,    1966 to 1970,35,0,0,30,0,10,,,
      Madagascar,    1971 to 1975,120,0,0,45,40,30,,,
      Madagascar,    1976 to 1980,460,0,15,340,60,50,,,
      Madagascar,    1981 to 1985,255,0,20,180,50,10,,,
      Madagascar,    1986 to 1990,285,10,25,205,35,10,,,
      Madagascar,    1991 to 1995,360,45,65,180,55,25,,,
      Madagascar,    1996 to 2001,330,40,50,225,0,0,,,
      Madagascar,  Non-permanent residents,65,10,0,50,0,0,,,
      Malawi,Total - Immigrant Status and Period of Immigration,430,20,45,315,30,20,,,
      Malawi,  Non-immigrants,35,0,10,25,0,0,,,
      Malawi,  Immigrants,375,10,35,285,30,20,,,
      Malawi,    Before 1915,0,0,0,0,0,0,,,
      Malawi,    1916 to 1920,0,0,0,0,0,0,,,
      Malawi,    1921 to 1925,0,0,0,0,0,0,,,
      Malawi,    1926 to 1930,0,0,0,0,0,0,,,
      Malawi,    1931 to 1935,0,0,0,0,0,0,,,
      Malawi,    1936 to 1940,0,0,0,0,0,0,,,
      Malawi,    1941 to 1945,0,0,0,0,0,0,,,
      Malawi,    1946 to 1950,0,0,0,0,0,0,,,
      Malawi,    1951 to 1955,0,0,0,0,0,0,,,
      Malawi,    1956 to 1960,0,0,0,0,0,0,,,
      Malawi,    1961 to 1965,10,0,0,10,0,0,,,
      Malawi,    1966 to 1970,40,0,0,15,15,0,,,
      Malawi,    1971 to 1975,60,0,0,45,15,0,,,
      Malawi,    1976 to 1980,50,0,10,45,0,0,,,
      Malawi,    1981 to 1985,45,0,0,45,0,0,,,
      Malawi,    1986 to 1990,65,0,0,60,0,0,,,
      Malawi,    1991 to 1995,50,10,20,20,0,10,,,
      Malawi,    1996 to 2001,45,0,0,40,0,0,,,
      Malawi,  Non-permanent residents,20,10,10,0,0,0,,,
      Mauritius,Total - Immigrant Status and Period of Immigration,6685,205,540,4520,880,540,,,
      Mauritius,  Non-immigrants,50,10,15,10,0,10,,,
      Mauritius,  Immigrants,6525,195,450,4470,875,535,,,
      Mauritius,    Before 1915,0,0,0,0,0,0,,,
      Mauritius,    1916 to 1920,0,0,0,0,0,0,,,
      Mauritius,    1921 to 1925,0,0,0,0,0,0,,,
      Mauritius,    1926 to 1930,10,0,0,0,0,10,,,
      Mauritius,    1931 to 1935,0,0,0,0,0,0,,,
      Mauritius,    1936 to 1940,0,0,0,0,0,0,,,
      Mauritius,    1941 to 1945,0,0,0,0,0,0,,,
      Mauritius,    1946 to 1950,0,0,0,0,0,0,,,
      Mauritius,    1951 to 1955,0,0,0,0,0,0,,,
      Mauritius,    1956 to 1960,20,0,0,0,0,15,,,
      Mauritius,    1961 to 1965,35,0,0,10,10,20,,,
      Mauritius,    1966 to 1970,330,0,0,85,195,55,,,
      Mauritius,    1971 to 1975,900,0,0,630,235,40,,,
      Mauritius,    1976 to 1980,1030,0,10,780,145,100,,,
      Mauritius,    1981 to 1985,785,0,35,620,75,55,,,
      Mauritius,    1986 to 1990,1430,35,160,1080,70,85,,,
      Mauritius,    1991 to 1995,1135,60,130,725,100,120,,,
      Mauritius,    1996 to 2001,845,100,120,550,40,35,,,
      Mauritius,  Non-permanent residents,115,0,70,40,10,0,,,
      Mayotte,Total - Immigrant Status and Period of Immigration,0,0,0,0,0,0,,,
      Mayotte,  Non-immigrants,0,0,0,0,0,0,,,
      Mayotte,  Immigrants,0,0,0,0,0,0,,,
      Mayotte,    Before 1915,0,0,0,0,0,0,,,
      Mayotte,    1916 to 1920,0,0,0,0,0,0,,,
      Mayotte,    1921 to 1925,0,0,0,0,0,0,,,
      Mayotte,    1926 to 1930,0,0,0,0,0,0,,,
      Mayotte,    1931 to 1935,0,0,0,0,0,0,,,
      Mayotte,    1936 to 1940,0,0,0,0,0,0,,,
      Mayotte,    1941 to 1945,0,0,0,0,0,0,,,
      Mayotte,    1946 to 1950,0,0,0,0,0,0,,,
      Mayotte,    1951 to 1955,0,0,0,0,0,0,,,
      Mayotte,    1956 to 1960,0,0,0,0,0,0,,,
      Mayotte,    1961 to 1965,0,0,0,0,0,0,,,
      Mayotte,    1966 to 1970,0,0,0,0,0,0,,,
      Mayotte,    1971 to 1975,0,0,0,0,0,0,,,
      Mayotte,    1976 to 1980,0,0,0,0,0,0,,,
      Mayotte,    1981 to 1985,0,0,0,0,0,0,,,
      Mayotte,    1986 to 1990,0,0,0,0,0,0,,,
      Mayotte,    1991 to 1995,0,0,0,0,0,0,,,
      Mayotte,    1996 to 2001,0,0,0,0,0,0,,,
      Mayotte,  Non-permanent residents,0,0,0,0,0,0,,,
      Mozambique,Total - Immigrant Status and Period of Immigration,905,0,20,645,155,80,,,
      Mozambique,  Non-immigrants,10,0,0,10,0,0,,,
      Mozambique,  Immigrants,870,0,20,615,145,80,,,
      Mozambique,    Before 1915,0,0,0,0,0,0,,,
      Mozambique,    1916 to 1920,0,0,0,0,0,0,,,
      Mozambique,    1921 to 1925,0,0,0,0,0,0,,,
      Mozambique,    1926 to 1930,0,0,0,0,0,0,,,
      Mozambique,    1931 to 1935,0,0,0,0,0,0,,,
      Mozambique,    1936 to 1940,0,0,0,0,0,0,,,
      Mozambique,    1941 to 1945,0,0,0,0,0,0,,,
      Mozambique,    1946 to 1950,0,0,0,0,0,0,,,
      Mozambique,    1951 to 1955,10,0,0,10,0,10,,,
      Mozambique,    1956 to 1960,0,0,0,0,0,0,,,
      Mozambique,    1961 to 1965,15,0,0,0,0,15,,,
      Mozambique,    1966 to 1970,20,0,0,0,10,10,,,
      Mozambique,    1971 to 1975,135,0,0,80,35,15,,,
      Mozambique,    1976 to 1980,250,0,0,170,65,10,,,
      Mozambique,    1981 to 1985,95,0,0,70,15,10,,,
      Mozambique,    1986 to 1990,160,0,10,125,10,15,,,
      Mozambique,    1991 to 1995,115,0,10,100,10,0,,,
      Mozambique,    1996 to 2001,65,0,0,55,0,10,,,
      Mozambique,  Non-permanent residents,25,0,0,20,0,0,,,
      Réunion,Total - Immigrant Status and Period of Immigration,70,0,15,40,10,0,,,
      Réunion,  Non-immigrants,0,0,0,0,0,0,,,
      Réunion,  Immigrants,30,0,10,15,10,0,,,
      Réunion,    Before 1915,0,0,0,0,0,0,,,
      Réunion,    1916 to 1920,0,0,0,0,0,0,,,
      Réunion,    1921 to 1925,0,0,0,0,0,0,,,
      Réunion,    1926 to 1930,0,0,0,0,0,0,,,
      Réunion,    1931 to 1935,0,0,0,0,0,0,,,
      Réunion,    1936 to 1940,0,0,0,0,0,0,,,
      Réunion,    1941 to 1945,0,0,0,0,0,0,,,
      Réunion,    1946 to 1950,0,0,0,0,0,0,,,
      Réunion,    1951 to 1955,0,0,0,0,0,0,,,
      Réunion,    1956 to 1960,0,0,0,0,0,0,,,
      Réunion,    1961 to 1965,0,0,0,0,0,0,,,
      Réunion,    1966 to 1970,10,0,0,0,10,0,,,
      Réunion,    1971 to 1975,0,0,0,0,0,0,,,
      Réunion,    1976 to 1980,0,0,0,0,0,0,,,
      Réunion,    1981 to 1985,10,0,10,0,0,0,,,
      Réunion,    1986 to 1990,0,0,0,0,0,0,,,
      Réunion,    1991 to 1995,10,0,0,10,0,0,,,
      Réunion,    1996 to 2001,10,0,0,10,0,0,,,
      Réunion,  Non-permanent residents,30,0,10,30,0,0,,,
      Rwanda,Total - Immigrant Status and Period of Immigration,2650,560,510,1465,70,45,,,
      Rwanda,  Non-immigrants,25,0,0,20,0,0,,,
      Rwanda,  Immigrants,2290,485,415,1270,70,45,,,
      Rwanda,    Before 1915,0,0,0,0,0,0,,,
      Rwanda,    1916 to 1920,0,0,0,0,0,0,,,
      Rwanda,    1921 to 1925,0,0,0,0,0,0,,,
      Rwanda,    1926 to 1930,0,0,0,0,0,0,,,
      Rwanda,    1931 to 1935,0,0,0,0,0,0,,,
      Rwanda,    1936 to 1940,0,0,0,0,0,0,,,
      Rwanda,    1941 to 1945,0,0,0,0,0,0,,,
      Rwanda,    1946 to 1950,0,0,0,0,0,0,,,
      Rwanda,    1951 to 1955,0,0,0,0,0,0,,,
      Rwanda,    1956 to 1960,10,0,0,10,0,0,,,
      Rwanda,    1961 to 1965,0,0,0,0,0,0,,,
      Rwanda,    1966 to 1970,10,0,0,10,0,0,,,
      Rwanda,    1971 to 1975,25,0,0,25,0,0,,,
      Rwanda,    1976 to 1980,55,0,0,20,20,20,,,
      Rwanda,    1981 to 1985,65,0,10,35,10,10,,,
      Rwanda,    1986 to 1990,180,0,20,150,0,0,,,
      Rwanda,    1991 to 1995,440,105,60,270,0,0,,,
      Rwanda,    1996 to 2001,1510,380,325,750,30,20,,,
      Rwanda,  Non-permanent residents,335,75,85,175,0,0,,,
      Seychelles,Total - Immigrant Status and Period of Immigration,1040,90,220,560,90,80,,,
      Seychelles,  Non-immigrants,0,0,0,0,0,0,,,
      Seychelles,  Immigrants,1030,90,220,550,90,80,,,
      Seychelles,    Before 1915,0,0,0,0,0,0,,,
      Seychelles,    1916 to 1920,0,0,0,0,0,0,,,
      Seychelles,    1921 to 1925,0,0,0,0,0,0,,,
      Seychelles,    1926 to 1930,0,0,0,0,0,0,,,
      Seychelles,    1931 to 1935,0,0,0,0,0,0,,,
      Seychelles,    1936 to 1940,0,0,0,0,0,0,,,
      Seychelles,    1941 to 1945,0,0,0,0,0,0,,,
      Seychelles,    1946 to 1950,0,0,0,0,0,0,,,
      Seychelles,    1951 to 1955,10,0,0,0,0,10,,,
      Seychelles,    1956 to 1960,10,0,0,10,0,0,,,
      Seychelles,    1961 to 1965,0,0,0,0,0,0,,,
      Seychelles,    1966 to 1970,10,0,0,0,10,10,,,
      Seychelles,    1971 to 1975,40,0,0,25,0,10,,,
      Seychelles,    1976 to 1980,60,0,0,35,0,20,,,
      Seychelles,    1981 to 1985,35,0,0,20,10,0,,,
      Seychelles,    1986 to 1990,355,25,80,205,20,20,,,
      Seychelles,    1991 to 1995,315,20,85,180,20,15,,,
      Seychelles,    1996 to 2001,205,45,55,85,20,0,,,
      Seychelles,  Non-permanent residents,10,0,0,10,0,0,,,
      Somalia,Total - Immigrant Status and Period of Immigration,20350,3825,4665,10615,515,730,,,
      Somalia,  Non-immigrants,30,0,10,25,0,0,,,
      Somalia,  Immigrants,18615,3415,4170,9990,425,615,,,
      Somalia,    Before 1915,0,0,0,0,0,0,,,
      Somalia,    1916 to 1920,0,0,0,0,0,0,,,
      Somalia,    1921 to 1925,0,0,0,0,0,0,,,
      Somalia,    1926 to 1930,0,0,0,0,0,0,,,
      Somalia,    1931 to 1935,0,0,0,0,0,0,,,
      Somalia,    1936 to 1940,0,0,0,0,0,0,,,
      Somalia,    1941 to 1945,0,0,0,0,0,0,,,
      Somalia,    1946 to 1950,0,0,0,0,0,0,,,
      Somalia,    1951 to 1955,0,0,0,0,0,0,,,
      Somalia,    1956 to 1960,0,0,0,0,0,0,,,
      Somalia,    1961 to 1965,0,0,0,0,0,0,,,
      Somalia,    1966 to 1970,10,0,0,10,0,0,,,
      Somalia,    1971 to 1975,80,0,0,60,10,15,,,
      Somalia,    1976 to 1980,100,0,10,75,0,15,,,
      Somalia,    1981 to 1985,240,0,25,200,20,0,,,
      Somalia,    1986 to 1990,2580,275,465,1760,40,40,,,
      Somalia,    1991 to 1995,10050,1675,2330,5495,225,330,,,
      Somalia,    1996 to 2001,5560,1465,1350,2385,140,225,,,
      Somalia,  Non-permanent residents,1705,410,480,605,90,110,,,
"      Tanzania, United Republic of",Total - Immigrant Status and Period of Immigration,19935,435,1070,12040,3530,2860,,,
"      Tanzania, United Republic of",  Non-immigrants,95,10,15,70,0,0,,,
"      Tanzania, United Republic of",  Immigrants,19295,320,935,11660,3520,2855,,,
"      Tanzania, United Republic of",    Before 1915,0,0,0,0,0,0,,,
"      Tanzania, United Republic of",    1916 to 1920,0,0,0,0,0,0,,,
"      Tanzania, United Republic of",    1921 to 1925,0,0,0,0,0,0,,,
"      Tanzania, United Republic of",    1926 to 1930,0,0,0,0,0,0,,,
"      Tanzania, United Republic of",    1931 to 1935,0,0,0,0,0,0,,,
"      Tanzania, United Republic of",    1936 to 1940,0,0,0,0,0,0,,,
"      Tanzania, United Republic of",    1941 to 1945,0,0,0,0,0,0,,,
"      Tanzania, United Republic of",    1946 to 1950,0,0,0,0,0,0,,,
"      Tanzania, United Republic of",    1951 to 1955,20,0,0,10,0,10,,,
"      Tanzania, United Republic of",    1956 to 1960,30,0,0,15,10,0,,,
"      Tanzania, United Republic of",    1961 to 1965,95,0,0,35,20,35,,,
"      Tanzania, United Republic of",    1966 to 1970,525,0,0,300,170,55,,,
"      Tanzania, United Republic of",    1971 to 1975,7060,0,0,4000,1875,1180,,,
"      Tanzania, United Republic of",    1976 to 1980,3525,0,120,2345,615,450,,,
"      Tanzania, United Republic of",    1981 to 1985,2630,0,130,1715,325,460,,,
"      Tanzania, United Republic of",    1986 to 1990,2550,90,295,1600,235,330,,,
"      Tanzania, United Republic of",    1991 to 1995,1925,65,290,1100,190,280,,,
"      Tanzania, United Republic of",    1996 to 2001,930,170,100,555,65,40,,,
"      Tanzania, United Republic of",  Non-permanent residents,545,110,110,305,10,0,,,
      Uganda,Total - Immigrant Status and Period of Immigration,11030,170,530,7480,1880,970,,,
      Uganda,  Non-immigrants,55,20,0,35,0,0,,,
      Uganda,  Immigrants,10665,100,435,7275,1880,970,,,
      Uganda,    Before 1915,0,0,0,0,0,0,,,
      Uganda,    1916 to 1920,0,0,0,0,0,0,,,
      Uganda,    1921 to 1925,0,0,0,0,0,0,,,
      Uganda,    1926 to 1930,0,0,0,0,0,0,,,
      Uganda,    1931 to 1935,0,0,0,0,0,0,,,
      Uganda,    1936 to 1940,0,0,0,0,0,0,,,
      Uganda,    1941 to 1945,0,0,0,0,0,0,,,
      Uganda,    1946 to 1950,10,0,0,0,10,0,,,
      Uganda,    1951 to 1955,0,0,0,0,0,0,,,
      Uganda,    1956 to 1960,25,0,0,15,10,0,,,
      Uganda,    1961 to 1965,85,0,0,50,10,25,,,
      Uganda,    1966 to 1970,265,0,0,160,70,30,,,
      Uganda,    1971 to 1975,5765,0,0,3755,1300,710,,,
      Uganda,    1976 to 1980,1185,0,0,895,225,65,,,
      Uganda,    1981 to 1985,715,0,30,570,75,40,,,
      Uganda,    1986 to 1990,1030,0,185,760,70,15,,,
      Uganda,    1991 to 1995,1055,30,140,745,75,65,,,
      Uganda,    1996 to 2001,520,70,80,330,35,10,,,
      Uganda,  Non-permanent residents,315,50,90,175,0,0,,,
      Zambia,Total - Immigrant Status and Period of Immigration,2365,225,490,1535,80,35,,,
      Zambia,  Non-immigrants,120,10,35,75,0,0,,,
      Zambia,  Immigrants,2135,205,420,1395,80,35,,,
      Zambia,    Before 1915,0,0,0,0,0,0,,,
      Zambia,    1916 to 1920,0,0,0,0,0,0,,,
      Zambia,    1921 to 1925,0,0,0,0,0,0,,,
      Zambia,    1926 to 1930,0,0,0,0,0,0,,,
      Zambia,    1931 to 1935,0,0,0,0,0,0,,,
      Zambia,    1936 to 1940,0,0,0,0,0,0,,,
      Zambia,    1941 to 1945,0,0,0,0,0,0,,,
      Zambia,    1946 to 1950,0,0,0,0,0,0,,,
      Zambia,    1951 to 1955,15,0,0,10,0,0,,,
      Zambia,    1956 to 1960,20,0,0,15,0,0,,,
      Zambia,    1961 to 1965,60,0,0,50,10,0,,,
      Zambia,    1966 to 1970,135,0,0,110,25,10,,,
      Zambia,    1971 to 1975,145,0,0,135,10,0,,,
      Zambia,    1976 to 1980,225,0,15,180,20,10,,,
      Zambia,    1981 to 1985,200,0,15,175,10,10,,,
      Zambia,    1986 to 1990,455,50,130,270,10,10,,,
      Zambia,    1991 to 1995,435,80,150,200,0,0,,,
      Zambia,    1996 to 2001,445,75,115,250,0,0,,,
      Zambia,  Non-permanent residents,115,10,45,65,0,0,,,
      Zimbabwe,Total - Immigrant Status and Period of Immigration,4120,315,660,2615,285,245,,,
      Zimbabwe,  Non-immigrants,90,30,0,55,0,10,,,
      Zimbabwe,  Immigrants,3405,210,420,2255,285,235,,,
      Zimbabwe,    Before 1915,10,0,0,0,0,10,,,
      Zimbabwe,    1916 to 1920,0,0,0,0,0,0,,,
      Zimbabwe,    1921 to 1925,0,0,0,0,0,0,,,
      Zimbabwe,    1926 to 1930,0,0,0,0,0,0,,,
      Zimbabwe,    1931 to 1935,0,0,0,0,0,0,,,
      Zimbabwe,    1936 to 1940,0,0,0,0,0,0,,,
      Zimbabwe,    1941 to 1945,10,0,0,0,0,0,,,
      Zimbabwe,    1946 to 1950,10,0,0,0,0,10,,,
      Zimbabwe,    1951 to 1955,70,0,0,20,10,45,,,
      Zimbabwe,    1956 to 1960,45,0,0,25,10,15,,,
      Zimbabwe,    1961 to 1965,145,0,0,80,30,35,,,
      Zimbabwe,    1966 to 1970,200,0,0,115,60,25,,,
      Zimbabwe,    1971 to 1975,150,0,0,105,35,10,,,
      Zimbabwe,    1976 to 1980,385,0,20,295,60,10,,,
      Zimbabwe,    1981 to 1985,370,0,40,270,45,15,,,
      Zimbabwe,    1986 to 1990,665,40,150,435,30,10,,,
      Zimbabwe,    1991 to 1995,685,70,130,445,0,35,,,
      Zimbabwe,    1996 to 2001,675,110,80,470,15,10,,,
      Zimbabwe,  Non-permanent residents,625,75,235,305,0,10,,,
    Northern Africa,Total - Immigrant Status and Period of Immigration,98755,9885,8915,58880,10615,10455,,,
    Northern Africa,  Non-immigrants,460,150,100,200,10,10,,,
    Northern Africa,  Immigrants,92650,8990,7475,55275,10540,10365,,,
    Northern Africa,    Before 1915,0,0,0,0,0,0,,,
    Northern Africa,    1916 to 1920,0,0,0,0,0,0,,,
    Northern Africa,    1921 to 1925,0,0,0,0,0,0,,,
    Northern Africa,    1926 to 1930,0,0,0,0,0,0,,,
    Northern Africa,    1931 to 1935,10,0,0,0,0,10,,,
    Northern Africa,    1936 to 1940,10,0,0,0,0,10,,,
    Northern Africa,    1941 to 1945,25,0,0,0,15,10,,,
    Northern Africa,    1946 to 1950,90,0,0,10,35,55,,,
    Northern Africa,    1951 to 1955,465,0,0,95,150,220,,,
    Northern Africa,    1956 to 1960,1980,0,0,570,445,965,,,
    Northern Africa,    1961 to 1965,5925,0,0,2165,1620,2135,,,
    Northern Africa,    1966 to 1970,9835,0,0,3865,3120,2850,,,
    Northern Africa,    1971 to 1975,6595,0,0,3805,1695,1095,,,
    Northern Africa,    1976 to 1980,5595,0,160,3675,995,765,,,
    Northern Africa,    1981 to 1985,4550,0,375,3135,490,540,,,
    Northern Africa,    1986 to 1990,10395,435,1455,7125,710,665,,,
    Northern Africa,    1991 to 1995,16000,2005,2035,10740,645,570,,,
    Northern Africa,    1996 to 2001,31170,6550,3450,20085,605,480,,,
    Northern Africa,  Non-permanent residents,5645,745,1330,3410,75,80,,,
      Algeria,Total - Immigrant Status and Period of Immigration,20795,3490,2010,13675,900,720,,,
      Algeria,  Non-immigrants,120,45,15,50,0,10,,,
      Algeria,  Immigrants,19025,3190,1865,12370,890,710,,,
      Algeria,    Before 1915,0,0,0,0,0,0,,,
      Algeria,    1916 to 1920,0,0,0,0,0,0,,,
      Algeria,    1921 to 1925,0,0,0,0,0,0,,,
      Algeria,    1926 to 1930,0,0,0,0,0,0,,,
      Algeria,    1931 to 1935,0,0,0,0,0,0,,,
      Algeria,    1936 to 1940,0,0,0,0,0,0,,,
      Algeria,    1941 to 1945,0,0,0,0,0,0,,,
      Algeria,    1946 to 1950,10,0,0,10,0,0,,,
      Algeria,    1951 to 1955,45,0,0,0,15,30,,,
      Algeria,    1956 to 1960,320,0,0,100,70,145,,,
      Algeria,    1961 to 1965,360,0,0,115,105,140,,,
      Algeria,    1966 to 1970,485,0,0,135,245,100,,,
      Algeria,    1971 to 1975,340,0,0,175,90,75,,,
      Algeria,    1976 to 1980,435,0,15,335,55,25,,,
      Algeria,    1981 to 1985,415,0,20,315,60,25,,,
      Algeria,    1986 to 1990,1490,65,190,1150,45,40,,,
      Algeria,    1991 to 1995,3270,445,365,2355,70,35,,,
      Algeria,    1996 to 2001,11860,2680,1270,7690,130,95,,,
      Algeria,  Non-permanent residents,1645,250,130,1255,10,0,,,
      Egypt,Total - Immigrant Status and Period of Immigration,36860,2730,2605,19425,5620,6485,,,
      Egypt,  Non-immigrants,115,20,40,55,10,0,,,
      Egypt,  Immigrants,35930,2580,2360,18955,5590,6440,,,
      Egypt,    Before 1915,0,0,0,0,0,0,,,
      Egypt,    1916 to 1920,0,0,0,0,0,0,,,
      Egypt,    1921 to 1925,0,0,0,0,0,0,,,
      Egypt,    1926 to 1930,0,0,0,0,0,0,,,
      Egypt,    1931 to 1935,10,0,0,0,0,10,,,
      Egypt,    1936 to 1940,10,0,0,0,0,10,,,
      Egypt,    1941 to 1945,20,0,0,0,15,0,,,
      Egypt,    1946 to 1950,70,0,0,0,30,45,,,
      Egypt,    1951 to 1955,300,0,0,45,80,170,,,
      Egypt,    1956 to 1960,730,0,0,165,165,405,,,
      Egypt,    1961 to 1965,3730,0,0,1295,1005,1435,,,
      Egypt,    1966 to 1970,5795,0,0,2185,1715,1890,,,
      Egypt,    1971 to 1975,3335,0,0,1805,940,595,,,
      Egypt,    1976 to 1980,2900,0,120,1875,480,425,,,
      Egypt,    1981 to 1985,2090,0,205,1315,220,360,,,
      Egypt,    1986 to 1990,4670,240,710,2855,365,505,,,
      Egypt,    1991 to 1995,5835,830,800,3580,295,330,,,
      Egypt,    1996 to 2001,6430,1515,530,3840,275,270,,,
      Egypt,  Non-permanent residents,815,130,205,415,25,35,,,
